
--- [START 2018-02-26_02-24-30] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/science2018/build/dummy-15.3
	out_dir      = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15

** net setting **
<class 'net.resnet50_fpn_mask_single_shot_0.model.MaskSingleShotNet'>


** dataset setting **
	WIDTH, HEIGHT = 192, 192
	train_dataset.split = debug1_ids_gray_only_10
	valid_dataset.split = debug1_ids_gray_only_10
	len(train_dataset)  = 10
	len(valid_dataset)  = 10
	len(train_loader)   = 2
	len(valid_loader)   = 3
	batch_size  = 4
	iter_accum  = 1
	batch_size*iter_accum  = 4

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 10

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   4.9 k 1960.0  0.0 m | 0.247   0.01 0.01   0.11 | 0.254   0.01 0.01   0.12 | 0.457   0.02 0.02   0.21 |  3 hr 57 min
0.0100   5.0 k 2000.0  0.0 m | 0.274   0.01 0.01   0.12 | 0.265   0.01 0.01   0.12 | 0.389   0.02 0.02   0.18 |  4 hr 01 min
0.0100   5.1 k 2040.0  0.0 m | 0.270   0.01 0.01   0.12 | 0.387   0.02 0.02   0.18 | 0.295   0.01 0.01   0.13 |  4 hr 06 min
0.0100   5.2 k 2080.0  0.0 m | 0.257   0.01 0.01   0.12 | 0.339   0.01 0.01   0.16 | 0.360   0.01 0.01   0.17 |  4 hr 11 min
0.0100   5.3 k 2120.0  0.0 m | 0.253   0.01 0.01   0.11 | 0.314   0.01 0.02   0.14 | 0.282   0.01 0.01   0.13 |  4 hr 16 min
0.0100   5.4 k 2160.0  0.0 m | 0.240   0.01 0.01   0.11 | 0.362   0.02 0.02   0.16 | 0.287   0.01 0.02   0.13 |  4 hr 21 min
0.0100   5.5 k 2200.0  0.0 m | 0.257   0.01 0.01   0.12 | 0.243   0.01 0.01   0.11 | 0.312   0.01 0.01   0.14 |  4 hr 26 min
0.0100   5.6 k 2240.0  0.0 m | 0.248   0.01 0.01   0.11 | 0.398   0.01 0.01   0.18 | 0.410   0.02 0.01   0.19 |  4 hr 31 min
0.0100   5.7 k 2280.0  0.0 m | 0.245   0.01 0.01   0.11 | 0.429   0.02 0.01   0.20 | 0.264   0.01 0.01   0.12 |  4 hr 36 min
0.0100   5.8 k 2320.0  0.0 m | 0.263   0.01 0.01   0.12 | 0.235   0.01 0.01   0.11 | 0.320   0.02 0.01   0.14 |  4 hr 41 min
0.0100   5.9 k 2360.0  0.0 m | 0.249   0.01 0.01   0.11 | 0.308   0.01 0.01   0.14 | 0.282   0.01 0.01   0.13 |  4 hr 45 min
0.0100   6.0 k 2400.0  0.0 m | 0.285   0.01 0.01   0.13 | 0.296   0.01 0.01   0.14 | 0.317   0.01 0.01   0.15 |  4 hr 50 min
0.0100   6.1 k 2440.0  0.0 m | 0.242   0.01 0.01   0.11 | 0.367   0.02 0.02   0.16 | 0.321   0.02 0.01   0.15 |  4 hr 55 min
0.0100   6.2 k 2480.0  0.0 m | 0.244   0.01 0.01   0.11 | 0.386   0.02 0.01   0.18 | 0.324   0.01 0.01   0.15 |  5 hr 00 min
0.0100   6.3 k 2520.0  0.0 m | 0.246   0.01 0.01   0.11 | 0.231   0.01 0.01   0.11 | 0.242   0.01 0.01   0.11 |  5 hr 05 min
0.0100   6.4 k 2560.0  0.0 m | 0.254   0.01 0.01   0.11 | 0.318   0.01 0.01   0.15 | 0.288   0.01 0.01   0.13 |  5 hr 10 min
0.0100   6.5 k 2600.0  0.0 m | 0.240   0.01 0.01   0.11 | 0.261   0.01 0.01   0.12 | 0.210   0.01 0.01   0.10 |  5 hr 15 min
0.0100   6.6 k 2640.0  0.0 m | 0.246   0.01 0.01   0.11 | 0.326   0.01 0.01   0.15 | 0.282   0.01 0.01   0.13 |  5 hr 20 min
0.0100   6.7 k 2680.0  0.0 m | 0.226   0.01 0.01   0.10 | 0.303   0.01 0.01   0.14 | 0.340   0.02 0.01   0.15 |  5 hr 25 min
0.0100   6.8 k 2720.0  0.0 m | 0.244   0.01 0.01   0.11 | 0.391   0.02 0.02   0.18 | 0.374   0.01 0.01   0.17 |  5 hr 30 min
0.0100   6.9 k 2760.0  0.0 m | 0.239   0.01 0.01   0.11 | 0.266   0.01 0.01   0.12 | 0.286   0.01 0.01   0.13 |  5 hr 34 min
0.0100   7.0 k 2800.0  0.0 m | 0.225   0.01 0.01   0.10 | 0.389   0.01 0.01   0.18 | 0.213   0.01 0.01   0.10 |  5 hr 39 min
0.0100   7.1 k 2840.0  0.0 m | 0.224   0.01 0.01   0.10 | 0.213   0.01 0.01   0.10 | 0.248   0.01 0.01   0.11 |  5 hr 44 min
0.0100   7.2 k 2880.0  0.0 m | 0.226   0.01 0.01   0.10 | 0.331   0.01 0.01   0.15 | 0.381   0.01 0.01   0.18 |  5 hr 49 min
0.0100   7.3 k 2920.0  0.0 m | 0.223   0.01 0.01   0.10 | 0.320   0.01 0.02   0.14 | 0.279   0.01 0.01   0.13 |  5 hr 54 min
0.0100   7.4 k 2960.0  0.0 m | 0.236   0.01 0.01   0.11 | 0.192   0.01 0.01   0.09 | 0.342   0.02 0.02   0.16 |  5 hr 59 min
0.0100   7.5 k 3000.0  0.0 m | 0.222   0.01 0.01   0.10 | 0.252   0.01 0.01   0.12 | 0.329   0.01 0.01   0.15 |  6 hr 04 min
0.0100   7.6 k 3040.0  0.0 m | 0.222   0.01 0.01   0.10 | 0.302   0.02 0.02   0.14 | 0.314   0.01 0.01   0.15 |  6 hr 09 min
0.0100   7.7 k 3080.0  0.0 m | 0.229   0.01 0.01   0.10 | 0.327   0.01 0.01   0.15 | 0.338   0.01 0.01   0.16 |  6 hr 14 min
